environment,team,relay_count,map_mode,command_mode,stress,seed,mission_success,safe_delivery_success,degraded_outcome,payload_delivery_rate,mean_progress,operational_score,attrition_rate,mean_hazard_exposure,mean_effective_map_delay,packet_loss,completion_step,mean_command_consensus,command_reversal_rate
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,degraded,789551239,0,0,1,0.5,0.7596690530373857,60.262546180755514,0.16666666666666663,0.16519161872242977,12,0.0776,760,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,degraded,772773620,0,0,1,0.0,0.5901909995078632,34.16458398818872,0.0,0.24881329392712287,12,0.0776,760,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,degraded,823106477,1,0,1,1.0,0.670799191523805,85.80503851483977,0.08333333333333337,0.07932814997254098,12,0.0776,575,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,degraded,806328858,0,0,1,0.5,0.7601489500212665,62.55947470423797,0.0,0.1831560016503844,12,0.0776,760,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,degraded,722440763,1,1,0,1.0,0.7581409693344866,89.89881423761918,0.0,0.0736554690241459,12,0.0776,462,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,degraded,705663144,0,0,1,0.5,0.7407334196430578,60.17701156969806,0.08333333333333337,0.18743869431546287,12,0.0776,760,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,degraded,755996001,1,1,0,1.0,0.8234215971299447,91.41275690217924,0.0,0.07456048163896162,12,0.0776,407,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,degraded,739218382,1,0,1,1.0,0.8798832721062491,87.26468326826199,0.08333333333333337,0.14032883306779412,12,0.0776,730,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,severe,269251153,1,0,1,1.0,0.7221061899765434,85.84486598154045,0.16666666666666663,0.07118312990679894,23,0.17072,523,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,severe,252473534,1,0,1,1.0,0.8385991311725096,88.55172863592871,0.08333333333333337,0.10127972306648321,23,0.17072,529,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,severe,235695915,1,0,1,1.0,0.6376303433069791,83.13560128717583,0.08333333333333337,0.11144331918042867,23,0.17072,438,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,severe,218918296,0,0,1,0.5,0.8015353875085363,64.3086430364223,0.0,0.1701978216648442,23,0.17072,760,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,severe,336361629,0,0,1,0.5,0.7500764444510906,57.59799226032955,0.08333333333333337,0.23549444125422803,23,0.17072,760,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,severe,319584010,1,1,0,1.0,0.6628053635054286,87.63959054295042,0.0,0.0731612259630835,23,0.17072,399,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,severe,302806391,0,0,1,0.5,0.7877369485889968,58.47998151332333,0.16666666666666663,0.2072978043339301,23,0.17072,760,0.0,0.0
webots_physics,balanced_hetero,2,delayed_hazard,autonomous,severe,286028772,0,0,1,0.5,0.922794453428971,67.2222599881611,0.0,0.17013954675658635,23,0.17072,760,0.0,0.0
